Регион,Клиенты_брокеры,Активы_брокеры_тыс_руб,Клиенты_ДУ,Активы_ДУ_тыс_руб,Дата_отчета,Квартал,Год,Номер_квартала,Исходный_файл,ul_total,ip_total,ЮЛ_ИП_всего,population,активы_млрд_руб,клиентов_на_1000_ЮЛ_ИП,клиентов_на_10000_населения,активов_на_душу_руб,доля_в_РФ_%,охват_населения_pct,активы_на_клиента_брокера_тыс,активы_на_клиента_ду_тыс,доля_ду_в_клиентах_pct,доля_активов_ду_pct,активы_на_1000_юл_ип_тыс
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,893673.0,235234298.52408,24232.0,32679210.72743,30-09-2021,Q3-2021,2021,3,client_assets_3_2021.xlsx,535906,580884,1116790,7988252.0,235.23,800.22,1149.07,33538.44,5.22,82.19,263.22,1348.6,2.64,12.2,239896.05
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,1065966.0,247970898.3345,38758.0,34419901.2831,31-12-2021,Q4-2021,2021,4,client_assets_4_2021.xlsx,529971,592188,1122159,7988252.0,247.97,949.92,1382.94,35350.76,5.29,98.45,232.63,888.07,3.51,12.19,251649.54
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,1223939.0,196222047.00908,41687.0,32949284.4113,31-03-2022,Q1-2022,2022,1,client_assets_1_2022.xlsx,519983,597128,1117111,8124000.0,196.22,1095.63,1557.89,28209.17,5.29,113.29,160.32,790.4,3.29,14.38,205146.43
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,1353215.0,171022288.46906,42449.0,27092966.1825,30-06-2022,Q2-2022,2022,2,client_assets_2_2022.xlsx,518933,601835,1120768,8124000.0,171.02,1207.4,1717.95,24386.42,5.29,124.53,126.38,638.25,3.04,13.68,176767.41
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,1451206.0,174999486.306044,42765.0,26067874.70814,30-09-2022,Q3-2022,2022,3,client_assets_3_2022.xlsx,518205,606543,1124748,8124000.0,175.0,1290.25,1838.96,24749.8,5.32,132.83,120.59,609.56,2.86,12.96,178766.59
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,1555029.0,233002312.398395,42263.0,29504689.7313,31-12-2022,Q4-2022,2022,4,client_assets_4_2022.xlsx,516620,607901,1124521,8124000.0,233.0,1382.84,1966.14,32312.53,5.34,142.04,149.84,698.12,2.65,11.24,233438.95
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,1662901.0,340973524.556021,41400.0,30113852.01163,31-03-2023,Q1-2023,2023,1,client_assets_1_2023.xlsx,518159,608376,1126535,7866300.0,340.97,1476.12,2166.59,47174.32,5.36,151.29,205.05,727.39,2.43,8.12,329405.99
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,1798118.0,387908108.160199,40992.0,32949908.2871,30-06-2023,Q2-2023,2023,2,client_assets_2_2023.xlsx,521977,621865,1143842,7866300.0,387.91,1572.0,2337.96,53501.39,5.42,160.78,215.73,803.81,2.23,7.83,367933.7
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,1925621.0,373209008.02604,40745.0,36502130.01769,30-09-2023,Q3-2023,2023,3,client_assets_3_2023.xlsx,521915,634145,1156060,7866300.0,373.21,1665.68,2499.73,52084.35,5.43,170.09,193.81,895.87,2.07,8.91,354403.01
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2114093.0,373822504.54709,40289.0,36631517.7002,31-12-2023,Q4-2023,2023,4,client_assets_4_2023.xlsx,517354,643307,1160661,7866300.0,373.82,1821.46,2738.75,52178.79,5.43,185.62,176.82,909.22,1.87,8.92,353638.16
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2226727.0,281780511.50078,39542.0,36876902.27244,31-03-2024,Q1-2024,2024,1,client_assets_1_2024.xlsx,516347,649550,1165897,7866300.0,281.78,1909.88,2880.98,40509.19,5.46,194.38,126.54,932.6,1.74,11.57,273315.24
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2336649.0,262918795.82837996,39177.0,37831778.883989975,30-06-2024,Q2-2024,2024,2,client_assets_2_2024.xlsx,516230,663444,1179674,7866300.0,262.92,1980.76,3020.26,38232.79,5.48,201.4,112.52,965.66,1.65,12.58,254943.8
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2476039.0,257067033.52996004,38914.0,40945546.80031999,30-09-2024,Q3-2024,2024,3,client_assets_3_2024.xlsx,513686,676472,1190158,7866300.0,257.07,2080.43,3197.12,37884.72,5.51,211.31,103.82,1052.21,1.55,13.74,250397.49
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2613498.0,254557546.74833,38076.0,44359462.88329,31-12-2024,Q4-2024,2024,4,client_assets_4_2024.xlsx,514380,688315,1202695,7866300.0,254.56,2173.03,3370.8,37999.7,5.54,220.47,97.4,1165.02,1.44,14.84,248539.33
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2722188.0,279467396.17949,37266.0,43255596.00124001,31-03-2025,Q1-2025,2025,1,client_assets_1_2025.xlsx,512463,693685,1206148,7988252.0,279.47,2256.93,3454.39,40399.7,5.57,228.78,102.66,1160.73,1.35,13.4,267565.0
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2825482.0,291697403.78398997,37330.0,45436527.98527999,30-06-2025,Q2-2025,2025,2,client_assets_2_2025.xlsx,509991,705631,1215622,7988252.0,291.7,2324.31,3583.78,42203.72,5.59,235.5,103.24,1217.16,1.3,13.48,277334.51
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2956233.0,310447709.74508,37482.0,50407499.19614,30-09-2025,Q3-2025,2025,3,client_assets_3_2025.xlsx,508445,719198,1227643,7988252.0,310.45,2408.06,3747.65,45173.24,5.6,243.86,105.01,1344.85,1.25,13.97,293941.49
Курганская область,77542.0,8552222.58434,3136.0,1559473.33846,30-09-2021,Q3-2021,2021,3,client_assets_3_2021.xlsx,33153,43370,76523,780363.0,8.55,1013.32,1033.85,12957.68,0.45,105.43,110.29,497.28,3.89,15.42,132139.3
Курганская область,92288.0,9370117.80963,4694.0,1533840.30171,31-12-2021,Q4-2021,2021,4,client_assets_4_2021.xlsx,32539,43988,76527,780363.0,9.37,1205.95,1242.78,13972.93,0.46,126.73,101.53,326.77,4.84,14.07,142485.11
Курганская область,105277.0,8060182.2103,5000.0,1284439.21413,31-03-2022,Q1-2022,2022,1,client_assets_1_2022.xlsx,32187,44511,76698,776000.0,8.06,1372.62,1421.1,12042.04,0.46,143.78,76.56,256.89,4.53,13.75,121836.57
Курганская область,116183.0,6112790.63124,5088.0,1122737.12088,30-06-2022,Q2-2022,2022,2,client_assets_2_2022.xlsx,31972,44850,76822,776000.0,6.11,1512.37,1562.77,9324.13,0.45,157.86,52.61,220.66,4.2,15.52,94185.62
